Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL
2010-01-04,63.51906967163086,20.301095962524414,,8.739999771118164,33.719078063964844,10.12662410736084,37.09000015258789,9.699999809265137,39.29357528686523,10.669840812683104,18.533082962036133,20.65955924987793,57.5759162902832,25.920000076293945,7.774136066436768,32.444515228271484,46.42913055419922,24.125,18.5,,37.5405502319336,62.89004898071289,10.19139289855957,24.38429069519043,313.6886901855469
2010-01-05,63.1212387084961,20.137075424194336,,8.529999732971191,33.927478790283196,10.144545555114746,37.70000076293945,9.710000038146973,39.060035705566406,10.560566902160645,19.07071876525879,20.435142517089844,57.09819030761719,26.690000534057614,8.199960708618164,32.38489151000977,45.93962860107422,23.78000068664551,18.010000228881836,,37.16785049438477,63.01413345336914,10.429805755615234,24.78521156311035,312.30731201171875
2010-01-06,64.01640319824219,20.24890899658203,,8.399999618530272,34.28814697265625,10.090778350830078,37.61999893188477,9.56999969482422,39.40060806274414,10.451292991638184,19.23824882507324,20.362537384033203,56.62739944458008,26.46999931335449,8.126389503479004,32.444515228271484,45.69852828979492,23.84000015258789,17.479999542236328,,37.28899002075195,63.32910537719727,10.510396957397461,24.79323005676269,304.4344482421875
2010-01-07,64.06229400634766,20.416654586791992,,8.399999618530272,34.25608444213867,9.848814964294434,36.88999938964844,9.470000267028807,39.39086532592773,10.459098815917967,19.44473648071289,20.336137771606445,56.30198287963867,26.479999542236328,8.084030151367188,32.21453857421875,46.12228775024414,23.93000030517578,17.430000305175778,,36.99081802368164,63.91133117675781,10.567480087280273,24.92152976989746,297.34735107421875
2010-01-08,64.51371765136719,20.521032333374023,,8.229999542236326,34.119834899902344,9.768158912658693,36.68999862670898,9.43000030517578,39.546573638916016,10.755699157714844,19.24993324279785,20.329540252685547,56.6619987487793,26.479999542236328,7.923508644104004,32.700057983398445,45.96885299682617,23.97500038146973,17.65999984741211,,36.720611572265625,64.59854888916016,10.772315979003906,25.02577209472656,301.3113098144531
2010-01-11,64.25355529785156,20.625408172607425,,8.079999923706055,34.087779998779304,9.759198188781738,36.209999084472656,9.140000343322754,39.15733337402344,10.825947761535645,19.756406784057614,20.34273338317871,57.70054626464844,26.38999938964844,7.874461650848389,32.555252075195305,46.20996475219727,23.82999992370605,17.540000915527347,,37.05604553222656,64.66535949707031,10.748809814453123,25.02577209472656,300.8558654785156
2010-01-12,64.30714416503906,20.56576156616211,,7.889999866485597,33.871360778808594,9.651659965515137,35.65999984741211,8.649999618530272,38.47618103027344,10.70106029510498,19.65511703491211,20.098514556884766,56.966651916503906,26.15999984741211,8.05058765411377,32.103805541992195,46.27570724487305,23.5,17.229999542236328,,37.00944900512695,63.60589599609375,10.752169609069824,25.001710891723636,295.5355224609375
2010-01-13,64.10053253173828,20.761024475097656,,7.960000038146973,34.25608444213867,9.777120590209961,36.27999877929688,9.149999618530273,39.01137161254883,10.98985767364502,19.8693904876709,20.256929397583008,57.53437805175781,26.040000915527344,8.324810981750487,32.42748260498047,46.39989852905274,23.56999969482422,17.579999923706055,,38.09961318969727,63.58681106567383,10.852910041809082,25.22623062133789,293.8388366699219
2010-01-14,63.88632583618164,20.78355026245117,,8.25,34.560653686523445,9.73231315612793,35.900001525878906,9.0,38.49562072753906,10.997663497924805,20.130420684814453,20.560550689697266,56.82126235961914,26.8799991607666,8.338191986083983,32.299713134765625,46.38528442382813,23.834999084472656,17.129999160766598,,38.2952766418457,63.65362930297852,10.973796844482422,25.37056541442871,295.22021484375
2010-01-15,63.78686904907226,20.83611488342285,,8.050000190734862,34.312198638916016,9.759198188781738,35.86999893188477,8.84000015258789,38.252357482910156,10.958637237548828,19.91224479675293,20.08531951904297,57.305908203125,26.61000061035156,8.03944206237793,32.274158477783196,45.81542587280274,23.70499992370605,16.930000305175778,,38.108924865722656,62.65143203735352,10.983868598937988,24.78521156311035,290.290283203125
2010-01-19,65.12578582763672,21.10272026062012,,8.350000381469728,35.065601348876946,9.714388847351074,36.95000076293945,9.010000228881836,38.43724822998047,11.028884887695312,20.29794311523437,20.329540252685547,57.1743392944336,27.21999931335449,8.286910057067871,32.68301773071289,46.35606002807617,23.815000534057614,17.34000015258789,,38.97547149658203,64.18814086914061,11.13497543334961,25.17010307312012,294.1040954589844
2010-01-20,64.81977844238281,21.117733001708984,,8.479999542236326,34.873233795166016,9.696467399597168,36.4900016784668,8.869999885559082,38.10639572143555,10.70106029510498,19.927831649780273,20.217329025268555,56.41276931762695,26.95000076293945,8.249011039733888,32.33379364013672,46.75059509277344,23.46500015258789,17.68000030517578,,38.70525360107422,64.07359313964844,11.061100006103516,25.033790588378906,290.4954833984375
2010-01-21,63.27425384521485,20.862398147583008,,8.510000228881836,34.536609649658196,9.490351676940918,35.81999969482422,8.989999771118164,38.17450714111328,10.435680389404297,19.66290664672852,20.144718170166016,55.2911491394043,26.71999931335449,8.300290107727049,31.618295669555664,45.51588821411133,23.415000915527344,16.850000381469727,,37.65237808227539,60.9238510131836,11.010727882385254,24.7210693359375,291.7817687988281
2010-01-22,62.34082794189453,20.468128204345703,,8.449999809265138,33.807247161865234,9.293192863464355,34.380001068115234,7.880000114440918,38.6707763671875,10.162494659423828,19.1291618347168,19.25365447998047,54.05183410644531,25.81999969482422,8.037211418151855,30.740949630737305,45.20904922485352,23.10000038146973,16.530000686645508,,36.81379318237305,58.52812576293945,10.732022285461426,24.03949546813965,275.2802734375
